Despesa total i valor unitari d'aliments, begudes, tabac i fonts d'energia
Catalunya. 2021
Font: Idescat, a partir de dades de l'Enquesta de pressupostos familiars, base 2016, de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=edcl&n=9508
;Despesa total (milers d'euros);Valor unitari (euros per unitat)
01.1.1.1 T Arròs (kg);80512,9;1,56
01.1.1.2 T Farina i altres cereals (kg);36671,4;1,26
01.1.1.3 T Pa (kg);676825,2;3,04
01.1.1.4 T Altres productes de fleca (kg);683995,0;7,14
01.1.1.5 T  Pizza i quiche (kg);139337,5;8,75
01.1.1.6 T Pastes alimentàries i cuscús (kg);179641,0;3,45
01.1.1.7 T Cereals per esmorzar (kg);71313,6;6,78
01.1.1.8 T Altres productes elaborats a base de cereals, ncaa (kg);42917,0;7,59
01.1.2.1 T Carn de boví fresca, refrigerada o congelada (kg);492578,7;12,75
01.1.2.2 T Carn de porcí fresca, refrigerada o congelada (kg);498973,7;8,71
01.1.2.3 T Carn d'oví i caprí fresca, refrigerada o congelada (kg);160676,2;17,72
01.1.2.4 T Carn d'aviram fresca, refrigerada o congelada (kg);650425,3;6,61
01.1.2.5 T Altres carns fresques i congelades (kg);82217,2;9,28
01.1.2.6 T Despulles i menuts (kg);46481,7;5,62
01.1.2.7 T Xarcuteria i carn seca, salada o fumada (kg);1388054,1;13,34
01.1.2.8 T Carns processades i altres preparacions a base de carns (kg);317389,8;10,41
01.1.3.1 T Peix fresc o refrigerat (kg);665313,6;11,57
01.1.3.2 T Peix congelat (kg);191628,4;12,26
01.1.3.3 T Marisc fresc o refrigerat (kg);218615,4;10,74
01.1.3.4. T Marisc congelat (kg);131235,0;13,37
01.1.3.5 T Peix i marisc sec, fumat o salat (kg);119891,6;24,33
01.1.3.6 T Peix i marisc processat i altres preparats de peix i marisc (kg);527692,9;13,40
01.1.4.1 T Llet sencera (L);166847,1;0,82
01.1.4.2 T Llet semidesnatada i desnatada (L);185438,7;0,78
01.1.4.3 T Llet conservada (kg);8064,5;4,16
01.1.4.4 T Iogurt i llets fermentades (kg);324755,9;2,83
01.1.4.5 T Formatge i mató (kg);685426,8;11,66
01.1.4.6 T Altres productes lactis (kg);131935,7;3,51
01.1.4.7 T Ous (unitat);180597,7;0,17
01.1.5.1.T Mantega i altres greixos animals comestibles (kg);26792,5;7,79
01.5.5.2 T Margarina i altres greixos vegetals (kg);16479,7;4,87
01.1.5.3 T Oli d'oliva (L);246139,6;3,77
01.1.5.4 T Altres olis comestibles  (L);40436,6;1,47
01.1.6.1 T Cítrics (frescos o refrigerats) (Kg);284821,1;1,63
01.1.6.2 T Plàtans (frescos o refrigerats) (kg);172227,2;1,89
01.1.6.3 T Pomes (fresques o refrigerades) (kg);109880,4;1,91
01.1.6.4 T Peres (fresques o refrigerades)  (kg);60876,0;2,06
01.1.6.5 T Fruites amb os (fresques o refrigerades)  (kg);254798,8;3,61
01.1.6.6 T Baies (fresques o refrigerades)  (kg);165829,8;5,07
01.6.6.7 T Altres tipus de fruites (fresques o refrigerades)  (kg);276378,2;1,78
01.1.6.8 T Fruita seca (kg);315608,5;13,62
01.1.6.9 T Fruites preparades, en conserva o congelades (kg);33672,3;4,82
01.1.7.1 T Hortalisses de fulla o de tija (fresques o refrigerades) (kg);152325,4;2,92
01.1.7.2 T Bosses de mescles d'enciams (frescos o refrigerats) (kg);48823,9;8,08
01.1.7.3 T Cols (fresques o refrigerades) (kg);62407,5;2,13
01.1.7.4 T Hortalisses conreades pel fruit (fresques o refrigerades) (kg);462794,8;2,42
01.1.7.5 T Hortalisses amb arrel o bulb i bolets (frescos o refrigerats) (kg);270685,2;2,49
01.1.7.6 T Llegums i hortalisses secs (kg);43192,2;3,42
01.1.7.7 T Llegums i hortalisses processats i altres preparats (kg);261024,6;3,72
01.1.7.8 T Llegums i hortalisses congelats (kg);60415,6;2,70
01.1.7.9 T Olives (kg);98148,7;7,50
01.1.7.A T Patates (kg);187272,4;1,19
01.1.7 B T Snacks (kg);179743,9;8,55
01.1.7 C T Tubercles i productes derivats (kg);12678,7;3,00
01.1.8.1 T Sucre (kg);28073,9;1,19
01.1.8.2 T Confitura, melmelada i mel (kg);68581,4;5,66
01.1.8.3 T Xocolata (kg);238695,5;12,03
01.1.8.5 T Gelats (kg);115690,0;5,77
01.1.8.6 T Succedanis artificials del sucre (g);8266,4;0,03
01.2.1.1.T Cafè, excepte en càpsules (kg);112436,1;10,89
01.2.1.2 T Cafè (càpsules);221751,2;0,30
01.2.1.3 T Te i infusions (g);49370,0;0,04
01.2.1.4 T Begudes de cacau i xocolata en pols (kg);57645,6;3,26
01.2.2.1 T Aigües minerals (L);263563,8;0,28
01.2.2.2 T Begudes refrescants  (L);264913,5;1,20
01.2.2.3 T Begudes energètiques  (L);15258,7;2,55
01.2.2.4 T Begudes isotòniques (L);21360,5;1,44
01.2.2.5 T Sucs de fruites i vegetals (L);123323,2;1,36
02.1.1.0 T Beg. alcohòl. destil., licors i similars. Licors sense alcoh. (L);133613,1;13,76
02.1.2.1 T Vins de raïm (L);350375,9;4,25
02.1.2.2 T Altres vins (L);28402,7;4,33
02.1.2.3 T Altres begudes a base de vi. Vi sense alcohol (L);4199,4;1,11
02.1.3.1 T Cervesa (L);237078,1;1,84
02.1.3.2 T Cervesa amb baix contingut alcohòlic o sense alcohol (L);18468,1;1,79
02.1.3.3 T Begudes a base de cervesa (L);8966,1;1,55
02.2.0.1 T Cigarrets (unitat);467730,2;0,23
02.2.0.2 T Cigarrs i cigars petits (unitat);15322,6;0,25
04.4.1.0 T Subministrament d'aigua (m3);719612,1;1,13
04.5.1.0 T Subministrament d'energia elèctrica (Kwh);2580516,3;0,29
04.5.2.1 T Gas natural i gas ciutat  (m3);1075792,0;0,86
04.5.2.2 T Hidrocarburs liquats (Kg);117513,3;1,18
045.3.0 T Combustibles líquids (L);180479,9;0,82
04.5.4.0 T Combustibles sòlids (kg);27814,6;0,16
07.2.2.1 T Gasoil (L);864427,1;1,19
07.2.2.2 T Gasolina (L);1678712,0;1,27

